Number,Title,Description,URL
CAS AA 103,Introduction to African American Literature,"Undergraduate Prerequisites: First-Year Writing Seminar (WR 120 or equivalent) - What is the African American literary tradition? In this course, we will read poetry, slave narratives, essays, speeches, tales, short stories, and novels and consider how culture, politics, and history shape African American literature. Carries humanities divisional credit in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Critical Thinking. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking.",/academics/cas/courses/cas-aa-103/
CAS AA 112,Black Power in the Classroom: The History of Black Studies,"Centers Black experiences, cultures, knowledge production and identity formation in the United States and in the African Diaspora across time and space. Examines and traces the genealogies of Black Studies as a discipline: its political, ideological, and practical foundations on college campuses and in communities. Also explores earlier traditions and contemporary work in Black radical thought and activism that lay the groundwork for and build on the founding principles of Black Studies by mobilizing an intersectional and diasporic lens. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Historical Consciousness, Social Inquiry I, Research and Information Literacy.",/academics/cas/courses/cas-aa-112/
CAS AA 114,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America","This course introduces the arts of Africa and Latin America. It explores the rich diversity of each continent's artistic production and highlights the impact of their intertwining histories on visual expression in the wake of transcontinental exchange and globalization. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Aesthetic Exploration, Critical Thinking.",/academics/cas/courses/cas-aa-114/
CAS AA 132,Write Back Soon: Blackness and the Prison,"This course interrogates the theme of black containment from slavery and Jim Crow to, principally, mass incarceration. Students explore the topic alongside the development of open letter writing skills. This form explores the persuasive impact of personal relationships and the politics of public vulnerabilities. Readings include letters to and from prison, documentaries, poetry, short stories, anthologies, memoirs, comics, visual art, and critical interventions. We also look at contemporary projects organizing for abolition and prisoner support.. Effective Fall 2021, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Aesthetic Exploration, Critical Thinking.",/academics/cas/courses/cas-aa-132/
CAS AA 207,Sociology of Race and Ethnicity,"Examines the fundamental theoretical and empirical approaches regarding race/ethnicity and the current state of race relations in the U.S. that explore both contemporary social problems. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Historical Consciousness, The Individual in Community, Research and Information Literacy.",/academics/cas/courses/cas-aa-207/
CAS AA 215,Arts of Africa and Its Diaspora,"Exploration of a diversity of visual and performing arts from Africa, including royal regalia, masquerades, and contemporary painting. Examines how the dispersal of Africans, due to the transatlantic slave trade and immigration, contributed to the cultural richness of the Americas. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Critical Thinking.",/academics/cas/courses/cas-aa-215/
CAS AA 225,Topics in Religion and Music,"May be repeated for credit as topics change. Topic for Fall 2019: Religion and Hip Hop Culture. Considers an often overlooked element in the study of hip hop culture, religion. Specifically, the course offers students the opportunity to examine the variety of ways that religion finds expression in the dynamic cultural medium of hip hop.",/academics/cas/courses/cas-aa-225/
CAS AA 234,African Americans in Global Perspective: Slavery and the Creation of Race,"A study of how chattel slavery in the Americas led to racialization as a primary tool in the creation of American society and New World capitalism. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Ethical Reasoning, Global Citizenship and Intercultural Literacy, Critical Thinking.",/academics/cas/courses/cas-aa-234/
CAS AA 237,Reconstructing the African Past,"Explores the richness and diversity of a continent where oral histories and environmental settings have shaped society as much as written records. Considers Africa's critical place in the world from ancient Egypt and Ghana to the Asante and Ethiopian empires. Carries social science divisional credit in CAS. Effective Spring 2024, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Historical Consciousness.",/academics/cas/courses/cas-aa-237/
CAS AA 270,"Race, Sex and Science Fiction","Science Fiction has always been engaged in complex conversations about culture and the fate of the human species. This course takes seriously the presence of issues such as race, sex and gender, which have become increasingly foregrounded in the genre. Effective Spring 2022, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Social Inquiry II, Critical Thinking.",/academics/cas/courses/cas-aa-270/
