Course Number,Course Title,Description,Subject meets with,Prerequisites,Class Type (U/G),Semester,Credit Structure,Credit Info,Instructor,Same subject as,Years offered
1.00,Introduction to Computers and Engineering Problem Solving," Fundamental computational algorithms for engineering and scientific applications. Weekly programming problems cover numerical analysis, graphics, data structures, searching, sorting, matrix methods, and simulation. Emphasis on developing techniques for solving computational problems in engineering, science, management, and planning. Subject taught using the C++ programming language in the Fall term and the C programming language in the Spring term. Some programming background helpful, particularly for the Fall term. 1.001 Introduction to Computers and",1.001,18.01,U,"Fall,",3-1-8,REST,Spring Term: E A. Kausel,,
1.001,Introduction to Computers and Engineering Problem Solving (New), Meets with undergraduate subject 1.00. See description under 1.00. 1.03 Introduction to Probability and,1.00,18.01,G,"Fall,",3-1-5,,Spring Term: E. A. Kausel,,
1.03,Introduction to Probability and Statistics for Engineers," Elements of probability and statistics with emphasis on engineering applications. Probability topics include univariate and multivariate distributions, estimation, and prediction; engineering reliability analysis; and Poisson and Markov processes. Statistics include classical and Bayesian methods of parameter estimation and hypothesis testing. 1.04 Solid Mechanics",,"18.01, 18.02",U,Fall,3-2-7,,D. Veneziano,,
1.04,Solid Mechanics," Static equilibrium. Forces in trusses. Stress, strain, and Hooke's law; introduction to stressstrain behavior of construction materials. Torsion in members of circular cross-section. Stresses and deflections in beams. Stresses on inclined planes and the use of Mohr's circle for plane stress. Design project using Growltiger software package. 1.05 Fluid Mechanics",,"8.01, 18.01",U,Spring,3-2-7,REST,L. J. Gibson,,
1.05,Fluid Mechanics," Introduction to the mechanics of incompressible fluid flow. Fluid properties. Hydrostatics. Conservation of mass and momentum using differential and integral balances. The Bernoulli equation. Shear stresses and velocity profiles in laminar and turbulent flows. Dynamic similarity. First law of thermodynamics and the energy equation. Applications to steady flow in conduits and open channels, pumps, turbines, drag and lift on immersed objects. 1.1OJ Environment and Technology",,"8.01, 18.03",U,Spring,3-2-7,,O. S. Madsen,,
1.1OJ,Environment and Technology," TPP.52J) Introduction to environmental problems arising from commonplace technologies (e.g., plastics, electronics, automobiles). Considers the sustainability of resource use and the introduction of chemicals into the environment. Illustrates how to predict the fates of those chemicals in air-water-land-biota systems. Considers environmental and health consequences of products and the processes used for their manufacture. Discusses how we might respond to undesirable impacts, including product redesign and development of policies to achieve environmentally sensitive improvements. Meets with graduate subject 10.570J, but assignments differ. For additional undergraduate introductory subjects, see 1.30, 1.40, 1.50, 1.60, 1.70, 1.80. Undergraduate Laboratory Subjects 1.102 Transportation Laboratory","10.470J, 10.570J,",,U,Fall,3-0-6,,"P. Gschwend, J. Ehrenfeld, A. Sarofim",,
1.102,Transportation Laboratory," Can be repeated for credit Laboratory experience with the properties of transportation systems. Students formulate an experiment based upon readings and discussions of current transportation problems. Emphasis on formulation of hypotheses about properties and effects of different types of transportation systems; planning of experiments and data collection in the field to test these hypotheses, analysis of results, and development of recommendations for changes in transport systems plans and policies. 1.105 Structural Engineering Laboratory",,,U,Spring,0-3-3,Institute LAB,Consult N. H. M. Wilson.,,
1.105,Structural Engineering Laboratory, Introduces students to properties of structural materials and behavior of simple structural elements and systems through a series of experiments. Several laboratory projects involve the student as both the designer and fabricator of a structure. 1.106 Fluid Mechanics Laboratory,,,U,Fall,0-3-3,Institute LAB,C. Leung,,
1.106,Fluid Mechanics Laboratory," Credit cannot also be received for 1.108 The measurement and analysis of physical parameters such as velocity, pressure, salinity, temperature, dissolved solids, etc., in closed conduits and natural water bodies. Application of these techniques in the context of six laboratory experiments. Certain experiments complement lectures in 1.05, but concurrent registration in 1.05 or previous fluid mechanics experience is not required. (Six additional units, satisfying the Institute Lab Requirement, may be obtained by registering for 1.108 rather than 1.106.) 300 Chapter Vill Department of Civil and Environmental Engineering Course 1 1.107 Aquatic Chemistry Laboratory",,,U,Fall,0-2-4,Institute LAB,"E. E. Adams, H. M. Nepf",,
1.107,Aquatic Chemistry Laboratory," Field sampling and laboratory analysis techniques for determining chemical (e.g., salinity, metals, 02, nutrients, haloforms, petroleum hydrocarbons) and biological (e.g., chlorophyll, phytoplankton growth rates) parameters in aquatic samples. Both wet-chemical and instrumental (e.g., atomic absorption spectrometry and gas chromatography) methods. Field trips are taken to acquire ""real world"" samples for analysis and interpretation of the data in terms of water quality and the processes affecting it. An independently designed final project is required. Enrollment limited to 16 per section. 1.108 Environmental Fluid Mechanics",,5.11,U,Spring,2-6-4,Institute LAB,"H. F Hemond, S. Frankel",,
1.108,Environmental Fluid Mechanics Laboratory, Credit cannot also be received for 1.106 Extends the subject material of 1.106 by including additional laboratory experiments and one or more field experiments in topics of current interest in environmental fluid mechanics. Also includes end-of-term group design project. Engineering Information Systems and Computation 1.12 Computer Models of Physical and,,,U,Fall,0-4-8,Institute LAB,"E. E. Adams, H. M. Nepf",,
1.12,Computer Models of Physical and Engineering Systems, Engineering School-Wide Elective Subject. Description given at end of this chapter in SWE section on page 562. 1.120 Information Technology M.Eng.,,"18.03 or 18.034, 1.00",U,Spring,3-1-8,,F. PeFna-Mora,,
1.120,Information Technology M.Eng. Project (Revised Units)," to Course 1 M.Eng. students Core requirement for Information Technology M.Eng. program. Introduction to software design methodology focusing on the strategic and the analysis phases, which lead into the design phase. Students develop the feature set and functional specifications for a software product. Involves assessment of leading-edge products related to networks, CAE, GUIs, and groupware. Example projects might be a Web browser for engineering information (3D CAD etc.) or an information filter agent for networked databases. This is the Information Technology M.Eng. program project subject. Students must also register for 1.125 during the spring term. 1.124J Computer Aided Engineering I",,1.124J or knowledge of C++; limited,G,"Fall,",2-2-5,H-LEVEL Grad Credit,J. R. Williams,,
1.124J,Computer Aided Engineering I," Foundations subject in modern software development techniques for numerical algorithms; the use of data structures and associated algorithms related to numerical analysis, geometric modeling, and visualization; basic problem-solving techniques using computational methods. Object-oriented software design (using C++); data structures sorting and searching algorithms; string processing, geometric, and graph algorithms; numerical and hierarchical analysis techniques; visualization techniques. Foundation for more in-depth exploration of computational geometry, geometric modeling, finite element methods, and network methods. Core requirement for Information Technology M.Eng. program. 1.125 Computer Aided Engineering III:",,1.00 and knowledge of C,G,Fall,3-3-6,H-LEVEL Grad Credit,J. R. Williams,"2.159J, 13.470J",
1.125,Computer Aided Engineering III: Software Design and Development," Software design and development is concerned with long-term, large-scale programming projects. Subject introduces software design techniques through the development of a typical CAE package. Lectures cover objectoriented software design techniques including OMT, Rational Rose, Patterns, etc. and domain-specific concepts needed to implement the CAE package. Core requirement for Information Technology M.Eng. Program. 1.126J Pattern Recognition and Analysis",,1.1 24J or Knowledge of C++,G,Spring,3-3-6,H-LEVEL Grad Credit,J. R. Williams,,
1.126J,Pattern Recognition and Analysis, theory and linear algebra See description under subject MAS.622J. 1.127J Design and Implementation of,,A working knowledge of probability,,,3-0-9,H-LEVEL Grad Credit,"R. W. Picard, A. Bobick",MAS.622J,Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
1.127J,Design and Implementation of Computer-Aided Engineering Systems, See description under subject 2.157J. 1.128J Computational Geometry,,Permission of instructor,G,Fall,3-2-7,H-LEVEL Grad Credit,"D. C. Gossard, N. M. Patrikalakis","2.157J, 13.471J",
1.128J,Computational Geometry, See description under subject 13.472J. 1.129 Information Content of the,,13.471J/1 .1 27J/2.157J or 6.837,,,3-0-9,H-LEVEL Grad Credit,"N. M. Patrikalakis, D. C. Gossard","13.472J, 2.158J",Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
1.129,Information Content of the Design-Development Process," structor Focuses on the identification, representation, and use of information developed, and explores the assumptions, concepts, and procedures which influence decision making during the design-development process. Examines how new information influences the generation of changes during the design-development process and how that information can be used for managing the changes. Considers the complexity of distributed decision making according to professional expertise, time difference, and geographical areas. Group projects emphasize the use of case studies and the development of information management systems. Mixed groups formed with information technology, engineering, and management students. See also 1.204,1.571, 1.70. Descriptions of Subjects 301 School of Engineering Engineering Analysis Methods 1.131 Mathematical Techniques and",,1.12 and 1.432 or permission of in-,,,3-0-9,H-LEVEL Grad Credit,F. Perta-Mora,,Acad Year 1996-97: Not offered Acad Year 1997-98: G Fall
1.131,Mathematical Techniques and Engineering Applications," A utilitarian survey of elementary and intermediate analytical techniques, and their applications in physical systems important to engineering. Linear partial differential equations. Separation of variables. Green's functions. Fourier transforms. Bessel functions. Applications to seepage, traffic flows, statics and vibration of elastic structures, soil consolidation, and diffusion of heat or pollutants. Additional topics may include complex functions or perturbation techniques. Formulation of physical problems and analysis of mathematical solutions are emphasized. 1.133 M.Eng. Concepts of Engineering",,18.03,G,Fall,4-0-8,H-LEVEL Grad Credit,C. C. Mei,,
