Course Number,Course Title,Description,Class Type (U/G),Semester,Rest,Prerequisites,Credit structure,Instructor,Lecture,Lab,Recitation,Partial Lab,Corequisites,Units
1.00,Engineering Computation and Data Science,"Presents engineering problems in a computational setting with emphasis on data science and problem abstraction. Covers exploratory data analysis and visualization, filtering, regression. Building basic machine learning models classifiers, decision trees, clustering for smart city applications. Labs and programming projects focused on analytics problems faced by cities, infrastructure, and environment. Students taking graduate version complete additional assignments and project work.",Undergraduate,Spring,True,Calculus I (GIR) ,3-2-7,J. Williams,,,,,,
1.000,Introduction to Computer Programming and Numerical Methods for Engineering Applications,"+finalsPresents the fundamentals of computing and computer programming procedural and object-oriented programming in an engineering context. Introduces logical operations, floating-point arithmetic, data structures, induction, iteration, and recursion. Computational methods for interpolation, regression, root finding, sorting, searching, and the solution of linear systems of equations and ordinary differential equations. Control of sensors and visualization of scientific data. Draws examples from engineering and scientific applications. Students use the Python programming environment to complete weekly assignments.No required or recommended textbooks",Undergraduate,Fall,True,18.03 ,3-2-7,R. Juanes,"MW9.30-11, 5-233","F9.30-11, 5-233",,,,
1.001,Engineering Computation and Data Science,"Presents engineering problems in a computational setting with emphasis on data science and problem abstraction. Covers exploratory data analysis and visualization, filtering, regression. Building basic machine learning models classifiers, decision trees, clustering for smart city applications. Labs and programming projects focused on analytics problems faced by cities, infrastructure and environment. Students taking graduate version will complete additional assignments and project work.",Graduate,Spring,,Calculus I (GIR) ,3-2-7,J. Williams,,,,,,
1.004,Startup Sustainable Tech,"Provides a practical introduction to key innovations in the fields of civil and environmental engineering that are currently having an impact. Structured around the different aspects of starting and maintaining a company in the first years after incorporation. Key topics include idea protection, team formation, and seed funds. Guest speakers who are involved in the startup process or are successful entrepreneurs present. Under faculty supervision, students work on case studies in areas such as renewable energy, sustainable design, food security, climate change, new infrastructures, and transportation. Concludes with the writing of a SBIR/STTR-type grant or business model. Students taking graduate version complete additional assignments.",Undergraduate,Spring,,,3-0-9,B. Marelli,,,,,,
1.005,Experiential Sustainability,"Examines the frameworks, governance, science, and social science of sustainability around students' summer internships, research, and other experiential learning activities. During the summer virtually and through the first four weeks of the fall term, students engage in small group discussions on diverse topics in sustainability, from environmental justice to corporate social responsibility. Includes global climate action negotiation simulation activities, roundtables with experts in sustainability, and/or similar opportunities for interaction with broad topics in sustainability. In the fall, students reflect on their engagement with sustainability during their summer experience, culminating in a showcase of final presentations. Students planning to take this subject must apply in the spring; consult the program website for details.",Undergraduate,Fall,,,1-0-2,D. Plata,,,,,,
1.006,Tools for Sustainable Design,"Conveys the principles, tools, and practice of environmentally sustainable design. Augments understanding of societal limitations to implementation of sustainable solutions, such that they may be strategically navigated. Presents the arguments and historical motivation for early evaluation of environmental impact metrics; illustrates and utilizes modern, rigorous tools for environmental optimization; and highlights national and global experts drawn from non-governmental organizations NGOs, government, industry, and academia. Provides an overview of the principles of Green Chemistry and Engineering, Life Cycle Analysis, toxicity prediction, and basic chemical and materials flows knowledge.",Undergraduate,Spring,,,3-0-9,D. Plata,,,,,,
1.008,Engineering for a Sustainable World,"Introduces engineering principles for sustainable development of infrastructure, environmental, and societal systems. Faculty members discuss case studies that highlight challenges and opportunities in the areas of smart cities, cyber-physical systems transportation, electricity, and societal networks, sustainable resource management land, water, and energy, and resilient design under the changing environment. Instruction covers the use of computation and data analytics for generating insights, and exercises designed to promote systems thinking and problem-solving skills. Subject can count toward the 6-unit discovery-focused credit limit for first-year students.",Undergraduate,Fall,,,1-1-1 [P/D/F],S. Amin,,,,,,
1.009,Climate Change,"Provides an introduction to global climate change processes, drivers, and impacts. Offers exposure to exciting MIT research on climate change. Students explore why and how the world should solve this global problem and how they can contribute to the solutions. Students produce a mini-project on the topic. Subject can count toward the 6-unit discovery-focused credit limit for first year students.",Undergraduate,Fall,,,1-0-2 [P/D/F],E. Eltahir,,,,,,
1.010,Probability and Causal Inference,"Not offered regularly; consult departmentIntroduces probability and causal inference with an emphasis on understanding, quantifying, and modeling uncertainty and cause-effect relationships in an engineering context. Topics in the first half include events and their probability, the total probability and Bayes' theorems, discrete and continuous random variables and vectors, and conditional analysis. Topics in the second half include covariance, correlation, regression analysis, causality analysis, structural causal models, interventions, and hypothesis testing. Concepts illustrated through data and applications. credit cannot also be received for 1.010A or 1.010B.",Undergraduate,Fall,,Calculus II (GIR) ,5-0-7,S. Saavedra,,,,,,
1.010A,Probability: Concepts and Applications,"; first half of termEnds Oct 18.sIntroduces probability with an emphasis on probabilistic systems analysis. Readings about conceptual and mathematical background are given in advanced of each class. Classes revise background and are centered on developing problem-solving skills. The course is exam-based and focused on the analysis of probabilistic outcomes, estimating what can happen under uncertain environments. Topics include random events and their probability, combinatorial analysis, conditional analysis, random vectors, functions of random vectors, propagation of uncertainty, and prediction analysis. Credit cannot also be received for 1.010.No required or recommended textbooks",Undergraduate,Fall,,Calculus II (GIR) ,2-0-4,S. Saavedra,"TR3-4.30, 1-242",,"W2.30, 1-242",,,
1.010B,Causal Inference for Data Analysis,"; second half of termBegins Oct 21.sIntroduces causal inference with an emphasis on probabilistic systems analysis. Readings about conceptual and mathematical background are given in advanced of each class. Class is focused on understanding theory based on real-world applications. The course is project-based and focused on cause-effect relationships, understanding why probabilistic outcomes happen. Topics include correlation analysis, Reichenbach's principle, Simpson's paradox, structural causal models and graphs, interventions, do-calculus, average causal effects, dealing with missing information, mediation, and hypothesis testing. Credit cannot also be received for 1.010.No required or recommended textbooks",Undergraduate,Fall,,1.010A or permission of instructor ,2-0-4,S. Saavedra,"TR3-4.30, 1-242",,"W2.30, 1-242",,,
